entrez_gene_symbol	gene_long_name	category_sources	category
NOCT	NOCTURNIN	RussLampel	DRUGGABLE GENOME
NOCT	NOCTURNIN	Pharos	TRANSCRIPTION FACTOR
TRBV7-8	T CELL RECEPTOR BETA VARIABLE 7-8	Pharos	TRANSCRIPTION FACTOR
TRBV7-8	T CELL RECEPTOR BETA VARIABLE 7-8	Pharos	KINASE
TUBA8	TUBULIN ALPHA 8	RussLampel,HopkinsGroom,HingoraniCasas	DRUGGABLE GENOME
ADRM1	ADHESION REGULATING MOLECULE 1	Pharos	ENZYME
SLC35A1	SOLUTE CARRIER FAMILY 35 MEMBER A1	Pharos,HumanProteinAtlas,GuideToPharmacology	TRANSPORTER
IGHV3-15	IMMUNOGLOBULIN HEAVY VARIABLE 3-15	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
AMH	ANTI-MULLERIAN HORMONE	GO	GROWTH FACTOR
AMH	ANTI-MULLERIAN HORMONE	GO	HORMONE ACTIVITY
AMH	ANTI-MULLERIAN HORMONE	HingoraniCasas	DRUGGABLE GENOME
AMH	ANTI-MULLERIAN HORMONE	Pharos	TRANSCRIPTION FACTOR
OR5BS1P	OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY BS MEMBER 1 PSEUDOGENE	RussLampel	DRUGGABLE GENOME
OR5BS1P	OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY BS MEMBER 1 PSEUDOGENE	GO	G PROTEIN COUPLED RECEPTOR
RABEP1	RABAPTIN, RAB GTPASE BINDING EFFECTOR PROTEIN 1	CarisMolecularIntelligence,FoundationOneGenes	CLINICALLY ACTIONABLE
RABEP1	RABAPTIN, RAB GTPASE BINDING EFFECTOR PROTEIN 1	GO	GROWTH FACTOR
ELP2	ELONGATOR ACETYLTRANSFERASE COMPLEX SUBUNIT 2	FoundationOneGenes	CLINICALLY ACTIONABLE
WFDC6	WAP FOUR-DISULFIDE CORE DOMAIN 6	dGene	PROTEASE INHIBITOR
NDUFB11	NADH:UBIQUINONE OXIDOREDUCTASE SUBUNIT B11	Pharos	ENZYME
NOTCH3	NOTCH 3	GO	CELL SURFACE
NOTCH3	NOTCH 3	FoundationOneGenes,MskImpact,Oncomine,Tempus	CLINICALLY ACTIONABLE
NOTCH3	NOTCH 3	HingoraniCasas	DRUGGABLE GENOME
NUAK2	NUAK FAMILY KINASE 2	dGene,IDG,HopkinsGroom,Pharos	KINASE
NUAK2	NUAK FAMILY KINASE 2	dGene,GO	SERINE THREONINE KINASE
NUAK2	NUAK FAMILY KINASE 2	RussLampel,HingoraniCasas,HopkinsGroom	DRUGGABLE GENOME
NUAK2	NUAK FAMILY KINASE 2	GuideToPharmacology	ENZYME
PARP8	POLY(ADP-RIBOSE) POLYMERASE FAMILY MEMBER 8	HopkinsGroom	DRUGGABLE GENOME
CORIN	CORIN, SERINE PEPTIDASE	RussLampel,HingoraniCasas,HopkinsGroom	DRUGGABLE GENOME
CORIN	CORIN, SERINE PEPTIDASE	HumanProteinAtlas,Pharos	ENZYME
CORIN	CORIN, SERINE PEPTIDASE	dGene,HopkinsGroom	PROTEASE
CORIN	CORIN, SERINE PEPTIDASE	GO	CELL SURFACE
IPP	INTRACISTERNAL A PARTICLE-PROMOTED POLYPEPTIDE	HingoraniCasas	DRUGGABLE GENOME
CD24	CD24 MOLECULE	GO	CELL SURFACE
DEFA6	DEFENSIN ALPHA 6	HingoraniCasas	DRUGGABLE GENOME
SHPRH	SNF2 HISTONE LINKER PHD RING HELICASE	GO	DNA REPAIR
SHPRH	SNF2 HISTONE LINKER PHD RING HELICASE	Pharos	TRANSCRIPTION FACTOR
EBF3	EARLY B-CELL FACTOR 3	Pharos	TRANSCRIPTION FACTOR
XCR1	X-C MOTIF CHEMOKINE RECEPTOR 1	GuideToPharmacology,dGene,HopkinsGroom	G PROTEIN COUPLED RECEPTOR
XCR1	X-C MOTIF CHEMOKINE RECEPTOR 1	RussLampel,HopkinsGroom,HingoraniCasas	DRUGGABLE GENOME
XCR1	X-C MOTIF CHEMOKINE RECEPTOR 1	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
TLE5	TLE FAMILY MEMBER 5, TRANSCRIPTIONAL MODULATOR	GO	TRANSCRIPTION FACTOR COMPLEX
BCL11B	B-CELL CLL/LYMPHOMA 11B	Tempus,CarisMolecularIntelligence,FoundationOneGenes	CLINICALLY ACTIONABLE
APOBEC3G	APOLIPOPROTEIN B MRNA EDITING ENZYME CATALYTIC SUBUNIT 3G	Pharos	ENZYME
APOBEC3G	APOLIPOPROTEIN B MRNA EDITING ENZYME CATALYTIC SUBUNIT 3G	HingoraniCasas	DRUGGABLE GENOME
NF2	NEUROFIBROMIN 2	FoundationOneGenes,Oncomine,MskImpact,CarisMolecularIntelligence,Tempus	CLINICALLY ACTIONABLE
NF2	NEUROFIBROMIN 2	GO	TUMOR SUPPRESSOR
NF2	NEUROFIBROMIN 2	CIViC	DRUG RESISTANCE
NF2	NEUROFIBROMIN 2	Pharos	KINASE
PHF1	PHD FINGER PROTEIN 1	FoundationOneGenes	CLINICALLY ACTIONABLE
ELF1	E74 LIKE ETS TRANSCRIPTION FACTOR 1	Pharos	TRANSCRIPTION FACTOR
OR51E1	OLFACTORY RECEPTOR FAMILY 51 SUBFAMILY E MEMBER 1	RussLampel,HopkinsGroom,HingoraniCasas	DRUGGABLE GENOME
OR51E1	OLFACTORY RECEPTOR FAMILY 51 SUBFAMILY E MEMBER 1	HopkinsGroom,Pharos,GO,dGene	G PROTEIN COUPLED RECEPTOR
PIM2	PIM-2 PROTO-ONCOGENE, SERINE/THREONINE KINASE	GO,dGene	SERINE THREONINE KINASE
PIM2	PIM-2 PROTO-ONCOGENE, SERINE/THREONINE KINASE	HopkinsGroom,Pharos,dGene	KINASE
PIM2	PIM-2 PROTO-ONCOGENE, SERINE/THREONINE KINASE	HopkinsGroom,RussLampel,HingoraniCasas	DRUGGABLE GENOME
PIM2	PIM-2 PROTO-ONCOGENE, SERINE/THREONINE KINASE	GuideToPharmacology	ENZYME
MAP4K4	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 4	HopkinsGroom,RussLampel,HingoraniCasas	DRUGGABLE GENOME
MAP4K4	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 4	HopkinsGroom,Pharos,dGene	KINASE
MAP4K4	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 4	GO,dGene	SERINE THREONINE KINASE
MAP4K4	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 4	GuideToPharmacology	ENZYME
NIPAL3	NIPA LIKE DOMAIN CONTAINING 3	GuideToPharmacology	TRANSPORTER
TMEFF2	TRANSMEMBRANE PROTEIN WITH EGF LIKE AND TWO FOLLISTATIN LIKE DOMAINS 2	HingoraniCasas	DRUGGABLE GENOME
LEFTY2	LEFT-RIGHT DETERMINATION FACTOR 2	HingoraniCasas	DRUGGABLE GENOME
LEFTY2	LEFT-RIGHT DETERMINATION FACTOR 2	Pharos	TRANSCRIPTION FACTOR
LEFTY2	LEFT-RIGHT DETERMINATION FACTOR 2	GO	GROWTH FACTOR
IGLC6	IMMUNOGLOBULIN LAMBDA CONSTANT 6 (GENE/PSEUDOGENE)	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
BOP1	BLOCK OF PROLIFERATION 1	GO	TUMOR SUPPRESSOR
PMCH	PRO-MELANIN CONCENTRATING HORMONE	HingoraniCasas	DRUGGABLE GENOME
NFE2L1	NUCLEAR FACTOR, ERYTHROID 2 LIKE 1	Pharos	TRANSCRIPTION FACTOR
GNPDA1	GLUCOSAMINE-6-PHOSPHATE DEAMINASE 1	Pharos	ENZYME
OSTM1	OSTEOPETROSIS ASSOCIATED TRANSMEMBRANE PROTEIN 1	HumanProteinAtlas	TRANSPORTER
KIR3DS1	KILLER CELL IMMUNOGLOBULIN LIKE RECEPTOR, THREE IG DOMAINS AND SHORT CYTOPLASMIC TAIL 1	Pharos	KINASE
CD99L2	CD99 MOLECULE LIKE 2	GO	CELL SURFACE
IMPACT	IMPACT RWD DOMAIN PROTEIN	Pharos	KINASE
IGKV2D-40	IMMUNOGLOBULIN KAPPA VARIABLE 2D-40	HingoraniCasas	DRUGGABLE GENOME
VARS2	VALYL-TRNA SYNTHETASE 2, MITOCHONDRIAL	HumanProteinAtlas	ENZYME
VARS2	VALYL-TRNA SYNTHETASE 2, MITOCHONDRIAL	RussLampel,RussLampel,HopkinsGroom	DRUGGABLE GENOME
STAM2	SIGNAL TRANSDUCING ADAPTOR MOLECULE 2	Pharos	KINASE
TTI2	TELO2 INTERACTING PROTEIN 2	Pharos	KINASE
CD164	CD164 MOLECULE	HingoraniCasas	DRUGGABLE GENOME
SPIB	SPI-B TRANSCRIPTION FACTOR	Pharos	TRANSCRIPTION FACTOR
ARHGAP35	RHO GTPASE ACTIVATING PROTEIN 35	Tempus	CLINICALLY ACTIONABLE
CIITA	CLASS II MAJOR HISTOCOMPATIBILITY COMPLEX TRANSACTIVATOR	FoundationOneGenes,CarisMolecularIntelligence,Tempus	CLINICALLY ACTIONABLE
CIITA	CLASS II MAJOR HISTOCOMPATIBILITY COMPLEX TRANSACTIVATOR	HumanProteinAtlas	ENZYME
CIITA	CLASS II MAJOR HISTOCOMPATIBILITY COMPLEX TRANSACTIVATOR	Pharos	TRANSCRIPTION FACTOR
CIITA	CLASS II MAJOR HISTOCOMPATIBILITY COMPLEX TRANSACTIVATOR	Pharos	KINASE
CIITA	CLASS II MAJOR HISTOCOMPATIBILITY COMPLEX TRANSACTIVATOR	GO	SERINE THREONINE KINASE
RAC3	RAC FAMILY SMALL GTPASE 3	Pharos	KINASE
PAFAH1B3	PLATELET ACTIVATING FACTOR ACETYLHYDROLASE 1B CATALYTIC SUBUNIT 3	Pharos	ENZYME
PAFAH1B3	PLATELET ACTIVATING FACTOR ACETYLHYDROLASE 1B CATALYTIC SUBUNIT 3	Pharos	KINASE
PYGB	GLYCOGEN PHOSPHORYLASE B	HopkinsGroom,RussLampel	DRUGGABLE GENOME
PYGB	GLYCOGEN PHOSPHORYLASE B	Pharos	ENZYME
CEBPG	CCAAT/ENHANCER BINDING PROTEIN GAMMA	Pharos	TRANSCRIPTION FACTOR
SKI	SKI PROTO-ONCOGENE	GO	TRANSCRIPTION FACTOR COMPLEX
OR51H1	OLFACTORY RECEPTOR FAMILY 51 SUBFAMILY H MEMBER 1	RussLampel	DRUGGABLE GENOME
OR51H1	OLFACTORY RECEPTOR FAMILY 51 SUBFAMILY H MEMBER 1	GO,dGene,Pharos	G PROTEIN COUPLED RECEPTOR
CASP9	CASPASE 9	dGene,GO,HopkinsGroom	PROTEASE
CASP9	CASPASE 9	Pharos,GuideToPharmacology	ENZYME
CASP9	CASPASE 9	HingoraniCasas,RussLampel,HopkinsGroom	DRUGGABLE GENOME
DENND4C	DENN DOMAIN CONTAINING 4C	Pharos	TRANSPORTER
PI4K2A	PHOSPHATIDYLINOSITOL 4-KINASE TYPE 2 ALPHA	HopkinsGroom	DRUGGABLE GENOME
PI4K2A	PHOSPHATIDYLINOSITOL 4-KINASE TYPE 2 ALPHA	HopkinsGroom	PHOSPHATIDYLINOSITOL 3 KINASE
PI4K2A	PHOSPHATIDYLINOSITOL 4-KINASE TYPE 2 ALPHA	Pharos	KINASE
PI4K2A	PHOSPHATIDYLINOSITOL 4-KINASE TYPE 2 ALPHA	GuideToPharmacology	ENZYME
NRDC	NARDILYSIN CONVERTASE	GO	CELL SURFACE
NRDC	NARDILYSIN CONVERTASE	HopkinsGroom,RussLampel	DRUGGABLE GENOME
NRDC	NARDILYSIN CONVERTASE	HopkinsGroom	NEUTRAL ZINC METALLOPEPTIDASE
NRDC	NARDILYSIN CONVERTASE	dGene	PROTEASE
SUMO4	SMALL UBIQUITIN-LIKE MODIFIER 4	Pharos	ENZYME
TREM1	TRIGGERING RECEPTOR EXPRESSED ON MYELOID CELLS 1	HingoraniCasas	DRUGGABLE GENOME
SGK2	SGK2, SERINE/THREONINE KINASE 2	Pharos	ION CHANNEL
SGK2	SGK2, SERINE/THREONINE KINASE 2	Pharos,dGene,HopkinsGroom	KINASE
SGK2	SGK2, SERINE/THREONINE KINASE 2	Pharos	TRANSPORTER
SGK2	SGK2, SERINE/THREONINE KINASE 2	GuideToPharmacology	ENZYME
SGK2	SGK2, SERINE/THREONINE KINASE 2	dGene,GO	SERINE THREONINE KINASE
SGK2	SGK2, SERINE/THREONINE KINASE 2	HopkinsGroom,RussLampel,HingoraniCasas	DRUGGABLE GENOME
THBS4	THROMBOSPONDIN 4	HingoraniCasas	DRUGGABLE GENOME
THBS4	THROMBOSPONDIN 4	Pharos	TRANSCRIPTION FACTOR
THBS4	THROMBOSPONDIN 4	GO	GROWTH FACTOR
B3GAT3	BETA-1,3-GLUCURONYLTRANSFERASE 3	Pharos,HumanProteinAtlas	ENZYME
COL3A1	COLLAGEN TYPE III ALPHA 1 CHAIN	HingoraniCasas	DRUGGABLE GENOME
PRMT6	PROTEIN ARGININE METHYLTRANSFERASE 6	GuideToPharmacology	ENZYME
PRMT6	PROTEIN ARGININE METHYLTRANSFERASE 6	BaderLabGenes	METHYL TRANSFERASE
NCS1	NEURONAL CALCIUM SENSOR 1	Pharos	KINASE
CYP39A1	CYTOCHROME P450 FAMILY 39 SUBFAMILY A MEMBER 1	Pharos,GuideToPharmacology	ENZYME
CYP39A1	CYTOCHROME P450 FAMILY 39 SUBFAMILY A MEMBER 1	HingoraniCasas,HopkinsGroom,RussLampel	DRUGGABLE GENOME
CYP39A1	CYTOCHROME P450 FAMILY 39 SUBFAMILY A MEMBER 1	HopkinsGroom	CYTOCHROME P450
MCU	MITOCHONDRIAL CALCIUM UNIPORTER	Pharos	TRANSPORTER
MCU	MITOCHONDRIAL CALCIUM UNIPORTER	Pharos	ION CHANNEL
VAMP7	VESICLE ASSOCIATED MEMBRANE PROTEIN 7	HingoraniCasas	DRUGGABLE GENOME
ARSD	ARYLSULFATASE D	HopkinsGroom,RussLampel	DRUGGABLE GENOME
KLHL33	KELCH LIKE FAMILY MEMBER 33	HingoraniCasas	DRUGGABLE GENOME
PRPS1L1	PHOSPHORIBOSYL PYROPHOSPHATE SYNTHETASE 1-LIKE 1	Pharos	ENZYME
PRPS1L1	PHOSPHORIBOSYL PYROPHOSPHATE SYNTHETASE 1-LIKE 1	Pharos,GO	KINASE
PRPS1L1	PHOSPHORIBOSYL PYROPHOSPHATE SYNTHETASE 1-LIKE 1	HopkinsGroom,RussLampel	DRUGGABLE GENOME
UGT1A6	UDP GLUCURONOSYLTRANSFERASE FAMILY 1 MEMBER A6	Pharos	ENZYME
UGT1A6	UDP GLUCURONOSYLTRANSFERASE FAMILY 1 MEMBER A6	HingoraniCasas	DRUGGABLE GENOME
ELSPBP1	EPIDIDYMAL SPERM BINDING PROTEIN 1	HingoraniCasas	DRUGGABLE GENOME
ELSPBP1	EPIDIDYMAL SPERM BINDING PROTEIN 1	GO	CELL SURFACE
SHPK	SEDOHEPTULOKINASE	HingoraniCasas	DRUGGABLE GENOME
SHPK	SEDOHEPTULOKINASE	Pharos	KINASE
SHPK	SEDOHEPTULOKINASE	HumanProteinAtlas	ENZYME
CASP4	CASPASE 4	dGene,HopkinsGroom	PROTEASE
CASP4	CASPASE 4	RussLampel,HopkinsGroom	DRUGGABLE GENOME
CASP4	CASPASE 4	Pharos,GuideToPharmacology	ENZYME
TNFRSF25	TNF RECEPTOR SUPERFAMILY MEMBER 25	HingoraniCasas	DRUGGABLE GENOME
MRGBP	MRG DOMAIN BINDING PROTEIN	GO	TUMOR SUPPRESSOR
TAS2R20	TASTE 2 RECEPTOR MEMBER 20	dGene,GO,GuideToPharmacology,IDG	G PROTEIN COUPLED RECEPTOR
OR4K5	OLFACTORY RECEPTOR FAMILY 4 SUBFAMILY K MEMBER 5	dGene,GO,HopkinsGroom,Pharos	G PROTEIN COUPLED RECEPTOR
OR4K5	OLFACTORY RECEPTOR FAMILY 4 SUBFAMILY K MEMBER 5	HopkinsGroom,RussLampel,HingoraniCasas	DRUGGABLE GENOME
LTB	LYMPHOTOXIN BETA	HingoraniCasas	DRUGGABLE GENOME
NPC1	NPC INTRACELLULAR CHOLESTEROL TRANSPORTER 1	GuideToPharmacology,Pharos,HumanProteinAtlas	TRANSPORTER
NPC1	NPC INTRACELLULAR CHOLESTEROL TRANSPORTER 1	HingoraniCasas	DRUGGABLE GENOME
XYLB	XYLULOKINASE	Pharos	ENZYME
XYLB	XYLULOKINASE	Pharos	KINASE
ATP6AP1	ATPASE H+ TRANSPORTING ACCESSORY PROTEIN 1	Pharos	ENZYME
CARTPT	CART PREPROPEPTIDE	HingoraniCasas	DRUGGABLE GENOME
TRDD1	T CELL RECEPTOR DELTA DIVERSITY 1	Pharos	KINASE
WFDC8	WAP FOUR-DISULFIDE CORE DOMAIN 8	dGene	PROTEASE INHIBITOR
PA2G4	PROLIFERATION-ASSOCIATED 2G4	RussLampel,HopkinsGroom	DRUGGABLE GENOME
PA2G4	PROLIFERATION-ASSOCIATED 2G4	HopkinsGroom	PROTEASE
GJB1	GAP JUNCTION PROTEIN BETA 1	GuideToPharmacology	ION CHANNEL
GJB1	GAP JUNCTION PROTEIN BETA 1	HingoraniCasas	DRUGGABLE GENOME
GJB1	GAP JUNCTION PROTEIN BETA 1	HumanProteinAtlas	TRANSPORTER
TRIM10	TRIPARTITE MOTIF CONTAINING 10	HopkinsGroom	B30_2 SPRY DOMAIN
TRIM10	TRIPARTITE MOTIF CONTAINING 10	HopkinsGroom	DRUGGABLE GENOME
OPN1SW	OPSIN 1, SHORT WAVE SENSITIVE	dGene,HopkinsGroom,HumanProteinAtlas,GuideToPharmacology	G PROTEIN COUPLED RECEPTOR
OPN1SW	OPSIN 1, SHORT WAVE SENSITIVE	HopkinsGroom,RussLampel,HingoraniCasas	DRUGGABLE GENOME
PDGFA	PLATELET DERIVED GROWTH FACTOR SUBUNIT A	GO	GROWTH FACTOR
PDGFA	PLATELET DERIVED GROWTH FACTOR SUBUNIT A	GO	CELL SURFACE
PDGFA	PLATELET DERIVED GROWTH FACTOR SUBUNIT A	HingoraniCasas	DRUGGABLE GENOME
PDGFA	PLATELET DERIVED GROWTH FACTOR SUBUNIT A	Pharos	KINASE
TMEM258	TRANSMEMBRANE PROTEIN 258	Pharos	ENZYME
COL8A1	COLLAGEN TYPE VIII ALPHA 1 CHAIN	HingoraniCasas	DRUGGABLE GENOME
OR52N5	OLFACTORY RECEPTOR FAMILY 52 SUBFAMILY N MEMBER 5	Pharos,GO,HopkinsGroom,dGene	G PROTEIN COUPLED RECEPTOR
OR52N5	OLFACTORY RECEPTOR FAMILY 52 SUBFAMILY N MEMBER 5	RussLampel,HopkinsGroom	DRUGGABLE GENOME
ATP11C	ATPASE PHOSPHOLIPID TRANSPORTING 11C	GuideToPharmacology	TRANSPORTER
MYCBP2	MYC BINDING PROTEIN 2, E3 UBIQUITIN PROTEIN LIGASE	Pharos	ENZYME
NDST1	N-DEACETYLASE AND N-SULFOTRANSFERASE 1	Pharos,HumanProteinAtlas	ENZYME
BCL2L2-PABPN1	BCL2L2-PABPN1 READTHROUGH	HingoraniCasas	DRUGGABLE GENOME
GRIA2	GLUTAMATE IONOTROPIC RECEPTOR AMPA TYPE SUBUNIT 2	HingoraniCasas,RussLampel,HopkinsGroom	DRUGGABLE GENOME
GRIA2	GLUTAMATE IONOTROPIC RECEPTOR AMPA TYPE SUBUNIT 2	Pharos,GuideToPharmacology	ION CHANNEL
GRIA2	GLUTAMATE IONOTROPIC RECEPTOR AMPA TYPE SUBUNIT 2	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
OR52D1	OLFACTORY RECEPTOR FAMILY 52 SUBFAMILY D MEMBER 1	HopkinsGroom,RussLampel	DRUGGABLE GENOME
OR52D1	OLFACTORY RECEPTOR FAMILY 52 SUBFAMILY D MEMBER 1	HopkinsGroom,GO,dGene,Pharos	G PROTEIN COUPLED RECEPTOR
NDUFB1	NADH:UBIQUINONE OXIDOREDUCTASE SUBUNIT B1	Pharos	ENZYME
IGHV2-26	IMMUNOGLOBULIN HEAVY VARIABLE 2-26	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
KLF10	KRUPPEL LIKE FACTOR 10	Pharos	ENZYME
USP32	UBIQUITIN SPECIFIC PEPTIDASE 32	dGene	PROTEASE
SUCLG2	SUCCINATE-COA LIGASE GDP-FORMING BETA SUBUNIT	Pharos	ENZYME
TRBV12-3	T CELL RECEPTOR BETA VARIABLE 12-3	Pharos	TRANSCRIPTION FACTOR
TRBV12-3	T CELL RECEPTOR BETA VARIABLE 12-3	Pharos	KINASE
GJB4	GAP JUNCTION PROTEIN BETA 4	GuideToPharmacology	ION CHANNEL
AMER1	APC MEMBRANE RECRUITMENT PROTEIN 1	CarisMolecularIntelligence,FoundationOneGenes,MskImpact,Tempus	CLINICALLY ACTIONABLE
ETAA1	ETAA1, ATR KINASE ACTIVATOR	GO	DNA REPAIR
ETAA1	ETAA1, ATR KINASE ACTIVATOR	Pharos	KINASE
SKIL	SKI LIKE PROTO-ONCOGENE	GO	TRANSCRIPTION FACTOR COMPLEX
SKIL	SKI LIKE PROTO-ONCOGENE	GO	TUMOR SUPPRESSOR
TRIP12	THYROID HORMONE RECEPTOR INTERACTOR 12	GO	DNA REPAIR
HLA-F	MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, F	Tempus	CLINICALLY ACTIONABLE
HLA-F	MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, F	GO	CELL SURFACE
HLA-F	MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, F	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
LCN2	LIPOCALIN 2	HingoraniCasas	DRUGGABLE GENOME
OR51C1P	OLFACTORY RECEPTOR FAMILY 51 SUBFAMILY C MEMBER 1 PSEUDOGENE	GO,dGene	G PROTEIN COUPLED RECEPTOR
OR51C1P	OLFACTORY RECEPTOR FAMILY 51 SUBFAMILY C MEMBER 1 PSEUDOGENE	RussLampel,HingoraniCasas	DRUGGABLE GENOME
GSDME	GASDERMIN E	HumanProteinAtlas	TRANSPORTER
WAS	WISKOTT-ALDRICH SYNDROME	CarisMolecularIntelligence	CLINICALLY ACTIONABLE
SELP	SELECTIN P	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
SELP	SELECTIN P	HingoraniCasas	DRUGGABLE GENOME
GRIK5	GLUTAMATE IONOTROPIC RECEPTOR KAINATE TYPE SUBUNIT 5	HingoraniCasas,HopkinsGroom,RussLampel	DRUGGABLE GENOME
GRIK5	GLUTAMATE IONOTROPIC RECEPTOR KAINATE TYPE SUBUNIT 5	GuideToPharmacology,Pharos	ION CHANNEL
RSC1A1	REGULATOR OF SOLUTE CARRIERS 1	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
RSC1A1	REGULATOR OF SOLUTE CARRIERS 1	Pharos	TRANSPORTER
PTPN11	PROTEIN TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 11	HingoraniCasas,RussLampel,HopkinsGroom	DRUGGABLE GENOME
PTPN11	PROTEIN TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 11	Pharos	KINASE
PTPN11	PROTEIN TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 11	HopkinsGroom,dGene,GO	PROTEIN PHOSPHATASE
PTPN11	PROTEIN TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 11	HumanProteinAtlas	ENZYME
PTPN11	PROTEIN TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 11	MskImpact,Tempus,Oncomine,FoundationOneGenes,CarisMolecularIntelligence	CLINICALLY ACTIONABLE
TRIM4	TRIPARTITE MOTIF CONTAINING 4	HopkinsGroom	B30_2 SPRY DOMAIN
TRIM4	TRIPARTITE MOTIF CONTAINING 4	HopkinsGroom	DRUGGABLE GENOME
SLC52A3	SOLUTE CARRIER FAMILY 52 MEMBER 3	Pharos,HumanProteinAtlas,GuideToPharmacology	TRANSPORTER
CHST12	CARBOHYDRATE SULFOTRANSFERASE 12	HingoraniCasas	DRUGGABLE GENOME
C1QL1	COMPLEMENT C1Q LIKE 1	HingoraniCasas	DRUGGABLE GENOME
PROKR2	PROKINETICIN RECEPTOR 2	Pharos	KINASE
PROKR2	PROKINETICIN RECEPTOR 2	RussLampel,HopkinsGroom,HingoraniCasas	DRUGGABLE GENOME
PROKR2	PROKINETICIN RECEPTOR 2	HopkinsGroom,dGene,HumanProteinAtlas,GO,GuideToPharmacology	G PROTEIN COUPLED RECEPTOR
MMP16	MATRIX METALLOPEPTIDASE 16	GO	CELL SURFACE
MMP16	MATRIX METALLOPEPTIDASE 16	RussLampel,HopkinsGroom,HingoraniCasas	DRUGGABLE GENOME
MMP16	MATRIX METALLOPEPTIDASE 16	dGene,HopkinsGroom	PROTEASE
MMP16	MATRIX METALLOPEPTIDASE 16	GuideToPharmacology	ENZYME
KLHL4	KELCH LIKE FAMILY MEMBER 4	HingoraniCasas	DRUGGABLE GENOME
CDK20	CYCLIN DEPENDENT KINASE 20	IDG,HopkinsGroom,dGene,Pharos	KINASE
CDK20	CYCLIN DEPENDENT KINASE 20	HopkinsGroom,RussLampel,HingoraniCasas	DRUGGABLE GENOME
CDK20	CYCLIN DEPENDENT KINASE 20	GuideToPharmacology	ENZYME
CDK20	CYCLIN DEPENDENT KINASE 20	GO	TUMOR SUPPRESSOR
CDK20	CYCLIN DEPENDENT KINASE 20	dGene	SERINE THREONINE KINASE
NPLOC4	NPL4 HOMOLOG, UBIQUITIN RECOGNITION FACTOR	HopkinsGroom	DRUGGABLE GENOME
COL7A1	COLLAGEN TYPE VII ALPHA 1 CHAIN	HingoraniCasas,RussLampel	DRUGGABLE GENOME
COL7A1	COLLAGEN TYPE VII ALPHA 1 CHAIN	dGene	PROTEASE INHIBITOR
SIX4	SIX HOMEOBOX 4	Pharos	TRANSCRIPTION FACTOR
SIX4	SIX HOMEOBOX 4	GO	TRANSCRIPTION FACTOR COMPLEX
FDFT1	FARNESYL-DIPHOSPHATE FARNESYLTRANSFERASE 1	HopkinsGroom,RussLampel,HingoraniCasas	DRUGGABLE GENOME
FDFT1	FARNESYL-DIPHOSPHATE FARNESYLTRANSFERASE 1	GuideToPharmacology,Pharos	ENZYME
ASCL3	ACHAETE-SCUTE FAMILY BHLH TRANSCRIPTION FACTOR 3	Pharos	TRANSCRIPTION FACTOR
OR2AJ1	OLFACTORY RECEPTOR FAMILY 2 SUBFAMILY AJ MEMBER 1	Pharos,dGene,GO	G PROTEIN COUPLED RECEPTOR
OR2AJ1	OLFACTORY RECEPTOR FAMILY 2 SUBFAMILY AJ MEMBER 1	RussLampel	DRUGGABLE GENOME
UGT1A1	UDP GLUCURONOSYLTRANSFERASE FAMILY 1 MEMBER A1	Tempus,CIViC	CLINICALLY ACTIONABLE
UGT1A1	UDP GLUCURONOSYLTRANSFERASE FAMILY 1 MEMBER A1	HumanProteinAtlas,GuideToPharmacology,Pharos	ENZYME
UGT1A1	UDP GLUCURONOSYLTRANSFERASE FAMILY 1 MEMBER A1	HingoraniCasas	DRUGGABLE GENOME
IGHV4-30-4	IMMUNOGLOBULIN HEAVY VARIABLE 4-30-4	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
CD19	CD19 MOLECULE	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
CD19	CD19 MOLECULE	Tempus	CLINICALLY ACTIONABLE
CD19	CD19 MOLECULE	HingoraniCasas	DRUGGABLE GENOME
TFG	TRK-FUSED GENE	CarisMolecularIntelligence,FoundationOneGenes	CLINICALLY ACTIONABLE
