Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	WT176	WT188	WT190	WT196	WT192	WT178	WT68	WT34	WT48	WT14	WT22	WT30	WT32	WT36	WT12	WT26	WT9	WT20	WT8	WT24	WT16	WT4	WT28	WT38	WT42	WT44	WT40	WT112	WT120	WT152	WT158	WT160	WT182	WT184	WT186	WT200	
Amplification Peak 18 - CN values	12q13.2 	chr12:55343929-56105341(probes 172662:172718)  	chr12:55344134-56095366(probes 172663:172717)  	chr12:55344134-56125290(probes 172663:172720)  	0.20895	    0.20895		Actual Copy Change Given	0.88	0	0.95692	2.4097	0	0.47658	0.9636	-0.0035906	-0.001222	0	0.0015672	-7.8853e-05	0.71086	0.77674	0	-0.00016579	0	0	1.0006	0	0.94841	0.72537	0.14034	0	0	0	1.1422	1.7063	0	0	0	0	2.1486	0	1.8273	0	
Amplification Peak 19 - CN values	12q21.2 	chr12:71516651-89874422(probes 174041:175164)  	chr12:72666500-77202797(probes 174154:174388)  	chr12:71526594-89894403(probes 174042:175166)  	0.0045339	  0.0045339		Actual Copy Change Given	0.88	0	0.95692	3.6569	0	0.41946	0.9636	0	0.00023364	0	-0.20641	-7.8853e-05	-0.13103	0.35077	0	-0.00016579	0	0	0.79579	0	0.94841	0.083347	0.14034	0	0	0	0.77898	1.85	0	0	0	0	3.6569	0	2.0825	0	
Amplification Peak 20 - CN values	13q13.3 	chr13:35472662-36233953(probes 180471:180500)  	chr13:35482597-36224050(probes 180472:180499)  	chr13:35482597-36253759(probes 180472:180502)  	0.060295	   0.060295		Actual Copy Change Given	0	0	0.94345	3.6569	0	0.52995	-0.0003284	0	0	0	0	0	0	0	-0.0011273	0	-0.00067731	0	0.00018092	0.87568	0.20683	-0.62204	0.062562	0	0	0	0	0	0.00018307	-0.0004362	0	0	3.6569	0	0.72595	0	
Amplification Peak 21 - CN values	14q23.1 	chr14:60564470-60875178(probes 191511:191518)  	chr14:60574449-60865652(probes 191512:191517)  	chr14:59805000-61483922(probes 191493:191527)  	0.014231	   0.014231		Actual Copy Change Given	-3.4669e-05	0	0	1.458	0	-3.7998e-05	-0.0003284	-0.0010748	0	0	-0.99464	0	0	0	0	0	0.57688	-0.00011252	0.0004845	0	-0.9352	-0.62204	-0.5564	0	0.00024729	0	0	0	0	0	0	0	3.6569	0	2.7273	0	
Amplification Peak 22 - CN values	18q11.1 	chr18:18518909-19100757(probes 217313:217322)  	chr18:18518941-18519099(probes 217314:217321)  	chr18:15004192-19129948(probes 217309:217325)  	4.9372e-15	 4.9372e-15		Actual Copy Change Given	0	-0.5951	0	-0.63636	3.6569	-0.96333	-0.35677	-0.9827	0	1.2182	-0.38001	1.7188	0	1.2926	-0.88301	3.6569	1.3833	0	-1.2929	-0.22667	0	-1.2929	1.7538	0.69135	0	-0.85707	-0.00035044	3.6464	0	0	0	-0.0013607	3.6569	-0.92019	0	0	
Amplification Peak 23 - CN values	18q12.1 	chr18:24426520-28999118(probes 217826:217860)  	chr18:24436520-28989215(probes 217827:217859)  	chr18:24436520-29018925(probes 217827:217862)  	0.20895	    0.20895		Actual Copy Change Given	0	0	0	2.2165	0	-0.30491	1.8667	0	-0.023409	0	-0.52804	0	-0.00063875	0	0	0	0	0	0	0	-0.040159	0.55984	0.10112	0	0	0	-0.00035044	0	0	0	-0.00025541	-0.0013607	2.4147	0	1.0156	0	
Amplification Peak 24 - CN values	19q11   	chr19:24000060-30107111(probes 224254:224274)  	chr19:24009994-30097267(probes 224255:224273)  	chr19:24009994-30126798(probes 224255:224276)  	3.5591e-07	 3.5591e-07		Actual Copy Change Given	0	0	-0.0020789	-0.9074	3.6569	-0.88027	-0.0003284	0	-0.99115	0	0	0.0010013	0	0	-0.97273	3.6569	0	0	-1.1747	-0.0044472	-0.74916	0.19343	-0.55887	0.0016561	-0.99545	0	0	3.6569	-0.82876	-0.0012894	-0.00058768	-0.68769	3.6569	-0.50991	0	0	
Deletion Peak  1 - CN values	1p36.33 	chr1:1609406-1670957(probes 129:149)            	chr1:1618474-1670957(probes 130:149)            	chr1:1647815-3617109(probes 136:343)            	0.00050923	  0.0011166		Actual Copy Change Given	0	0	0.00019093	-0.63636	0	0	-0.0010674	-0.72356	0	0	0.28102	0.0002192	0	0	-0.0074528	0	0	0.54778	-0.018591	0.7679	0	-0.62204	-0.5564	0	0	0	0	0	0	0	0	0	-0.0017422	0	-1.2929	0	
Deletion Peak  2 - CN values	1p36.21 	chr1:12980117-13192576(probes 1258:1283)      	chr1:12987221-13128647(probes 1259:1274)      	chr1:12888290-13454199(probes 1231:1313)      	0.0064317	    0.17103		Actual Copy Change Given	0.00032828	0	0.00019093	-0.63636	0	0	-0.0010674	-1.0345	0	0	0	0.0002192	0.00043432	0	-0.0027333	0	0	0	0.0003245	0	0	-0.62204	-0.5564	-0.0017254	0.0004292	-0.11659	-0.17784	0	0	-6.3652e-06	0	0	-0.0017422	0	-1.2929	0	
Deletion Peak  3 - CN values	1p36.11 	chr1:23876755-26768116(probes 2308:2591)      	chr1:26546261-26768116(probes 2576:2591)      	chr1:26566188-26615879(probes 2578:2579)      	0.10853	    0.10853		Actual Copy Change Given	0.00032828	0	0.00019093	-1.2929	0	0	-0.0010674	-0.91616	0	0	0	0.0002192	0.00043432	0	-8.3992e-05	0	0	0	0.0003245	0	0	0.041049	-0.5564	-0.67307	0.0004292	0	-0.00032177	0	0	-6.3652e-06	0	0	-0.0017422	0	-0.90909	0	
Deletion Peak  4 - CN values	1q21.1  	chr1:142713153-143743289(probes 11295:11345)	chr1:143144156-143188599(probes 11341:11343)	chr1:121129558-143743289(probes 11280:11345)	0.017883	   0.017883		Actual Copy Change Given	0.58	0	0	-0.18486	0.00089211	0	0	-0.39504	0	0	0	0.0002192	0	0	-0.74002	0.0010698	0	0	-0.11631	0	0	-0.62204	-0.5564	0	0.0004292	-0.00019682	-0.53406	0.048278	0	-1.1467	-0.56915	-0.00046075	1.7799	0	0	0	
Deletion Peak  5 - CN values	2q11.1  	chr2:92129750-95974063(probes 28511:28553)    	chr2:92320395-95974063(probes 28551:28553)    	chr2:92222631-95983929(probes 28521:28554)    	1.7131e-05	 1.7131e-05		Actual Copy Change Given	0	-0.53506	-0.0026222	-0.52641	0	0	-0.0003284	0	0	8.3717e-06	0	0	-0.076803	-0.0011138	0	0	0.54461	-0.059262	-0.00035297	0.96684	0	-0.14354	0.0083711	0	-0.038017	-0.00022809	0	0	0.00012157	-0.00021301	0	0	3.1595	0	1.9688	0.00099505	
Deletion Peak  6 - CN values	3q11.2  	chr3:97749468-98261817(probes 50557:50581)    	chr3:97787567-98261817(probes 50561:50581)    	chr3:97806617-97870800(probes 50563:50564)    	0.10825	    0.10853		Actual Copy Change Given	0	-0.57476	0.00022094	1.458	0	-0.58033	-0.0003284	-0.30303	-0.00056118	-0.14353	0	0	0	0.5864	-0.00041339	0	0	0	0	-0.00049479	0.00012233	-1.1326	-0.5564	0	0	0	0	0	0	0.00013779	-0.00013217	0	0.97787	0	1.5655	0.87719	
Deletion Peak  7 - CN values	4p16.1  	chr4:9346130-9564593(probes 60519:60533)        	chr4:9355523-9469532(probes 60520:60522)        	chr4:9369667-9477454(probes 60522:60523)        	0.19932	    0.19714		Actual Copy Change Given	0	0	0	-0.63636	0	0	-0.0003284	0.21864	0	0	-1.1391	0	0	0	0	0	0	0	0	0	0	-0.0018546	-0.5564	0	0	0	0	0	0	0	0	0	-0.0017422	0	0	0	
Deletion Peak  8 - CN values	4p11    	chr4:48860648-52717917(probes 64351:64678)    	chr4:48877815-49104590(probes 64353:64355)    	chr4:48894982-49139256(probes 64355:64356)    	0.0013899	  0.0013899		Actual Copy Change Given	0	0	0	-0.067493	0	0	-0.0003284	-0.88237	0	0	0	0	0	0	0	0	1.125	0	0	0	0	-0.037453	-0.5564	0.87568	0	0	0	0	0	0	-0.19536	0	1.04	0	0	0	
Deletion Peak  9 - CN values	4q13.3  	chr4:69884762-71208745(probes 65615:65739)    	chr4:69952446-71133791(probes 65622:65731)    	chr4:69512848-71143160(probes 65593:65732)    	0.019024	   0.019024		Actual Copy Change Given	0	-0.89971	0	2.1381	0	-0.76096	0.68547	0	-0.001033	-0.00020087	-0.96598	0	-0.94813	0.00025514	0	0	0	0	-0.00023646	0	0	-0.62204	-0.5564	0	0	0	0	0.00054415	0	0	0	-0.00024364	2.8331	0	0.95652	-0.00025338	
Deletion Peak 10 - CN values	6p11.2  	chr6:57078124-58778648(probes 97562:97625)    	chr6:57166297-58778648(probes 97571:97625)    	chr6:57393113-57398057(probes 97599:97600)    	0.1403	     0.1403		Actual Copy Change Given	0	-0.048759	0	0.9839	0	-0.08147	-0.0003284	0	-0.00039728	0	0	0	0	0.43731	0	-0.00051438	0	0	-0.0017851	0	1.1533	-0.62204	-0.5564	0	0	0	0	0.00053588	0	0	0	0	-0.0017422	-0.00057723	0.9238	0.78848	
Deletion Peak 11 - CN values	9q13    	chr9:66494592-67272111(probes 138597:138621)  	chr9:66971215-67047123(probes 138614:138615)  	chr9:66833874-67331178(probes 138603:138638)  	0.025987	   0.025987		Actual Copy Change Given	-0.00047222	-0.00014779	0	0.075001	0.3807	-0.10827	-0.0003284	-0.038164	-0.33553	0	-0.062091	0	-0.0020531	-0.00079962	-0.82222	0	0	0	-0.37257	0.0025423	0.49114	-0.64292	0.19221	0	-0.0020279	0	0	0.2848	-0.38585	0	-0.19899	-0.625	-0.29496	-0.1033	0	0.012623	
Deletion Peak 12 - CN values	9q21.11 	chr9:69423669-70183842(probes 138748:138817)  	chr9:69643480-69711013(probes 138758:138759)  	chr9:69643500-69711035(probes 138759:138760)  	0.0004423	  0.0004423		Actual Copy Change Given	-0.0002907	-0.65675	-0.00032313	-0.63636	2.7733	-1.0151	0.91257	-0.39801	-0.58588	-0.037432	0	-0.00090102	0.08249	-0.00079962	0	3.6569	0.0012042	0	-1.2106	0.48042	0.33952	-0.62204	1.2074	0	0	0	0.00023231	3.6569	-0.70887	-0.00046332	0	-0.71672	3.6569	-0.75268	0.72727	-0.00024373	
Deletion Peak 13 - CN values	10q11.21	chr10:38736860-42907200(probes 148514:148577)	chr10:38938379-42385160(probes 148524:148525)	chr10:38934218-42681308(probes 148523:148576)	0.00023188	 0.00023188		Actual Copy Change Given	1.3234	-0.6393	0	0.011383	3.2424	-0.91309	-0.13717	-0.92674	0	-0.001645	0	0.13795	-0.018962	0.61281	-0.5492	3.6569	0.048785	0	-1.0489	0.33654	-0.00015821	-0.66142	2.8065	0	0	-0.28487	-0.00098451	3.6569	-0.00054363	8.0112e-05	0.98591	-0.60017	3.6569	-0.76056	0.026011	0	
Deletion Peak 14 - CN values	11q12.1 	chr11:49942581-57128362(probes 161120:161136)	chr11:51590389-57128362(probes 161123:161136)	chr11:56467760-56468211(probes 161130:161131)	0.052312	   0.047178		Actual Copy Change Given	-0.19504	0	0	-0.25278	0.001434	0	0.049658	-0.28884	-0.26653	0.00026683	0	0	0	0	-0.00010889	0.0012623	-0.011078	0	-0.0013868	0	0.091566	-0.52345	-0.61627	0	0	0.00025885	-0.00070987	0.0013189	0	0	0	-0.00044503	2.0286	-0.00029134	0.001939	0	
Deletion Peak 15 - CN values	15q11.2 	chr15:22013373-22567263(probes 195866:195889)	chr15:22033176-22431940(probes 195868:195883)	chr15:20799036-22567263(probes 195757:195889)	0.019313	   0.019024		Actual Copy Change Given	0	0	0.00077642	0.71628	0	-0.5139	-0.0003284	-1.2459	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.2929	-0.5564	0	0	0	0	0	0	0	0	0	1.0873	0	1.5677	0	
Deletion Peak 16 - CN values	16q11.2 	chr16:33965583-47121174(probes 205335:205354)	chr16:33965709-47021550(probes 205339:205344)	chr16:33965712-46405155(probes 205340:205341)	0.00046263	 0.00046263		Actual Copy Change Given	0	-0.29312	-0.38242	-0.021066	0.0018094	-0.0020971	-0.0003284	-0.93749	-0.001726	0.00045707	-0.47329	0	-0.90448	-0.00075849	-0.00044351	0.0032078	0.0010791	0	-0.49074	0	0	-0.7439	-0.55602	-0.00028961	-0.34865	-0.49366	-0.95586	0.00035458	0	0	0.00024426	-0.45924	-0.0017422	0	0	-0.060606	
Deletion Peak 17 - CN values	16q23.1 	chr16:70786602-90109518(probes 207163:208787)	chr16:70796516-82682889(probes 207164:208073)	chr16:70993882-71017122(probes 207176:207177)	0.00046263	 0.00046263		Actual Copy Change Given	-0.839	0	0	-1.0242	0.0018094	-0.0020971	-0.0003284	-0.78416	-0.001726	0.00045707	-0.47329	0	-0.80547	-0.00075849	-0.00044351	0	0.0010791	0	-0.91707	0	0	-0.05793	-0.55602	-0.00028961	0	0	-0.94378	0.00035458	0	0	0.00024426	0	3.6569	0	0	0	
Deletion Peak 18 - CN values	18q11.2 	chr18:15004192-19129948(probes 217309:217325)	chr18:18519079-19129948(probes 217322:217325)	chr18:15004192-19129948(probes 217309:217325)	6.5949e-06	 6.5949e-06		Actual Copy Change Given	0	0	0	0.14512	0	-0.30491	1.8667	0	-0.023409	0	-0.38001	0	-0.00063875	0	0	0	0	0	0	0	-0.040159	0.55984	0.10112	0.69135	0	0	-0.00035044	0	0	0	-0.00025541	-0.0013607	-0.0017422	0	0	0	
Deletion Peak 19 - CN values	19q12   	chr19:24009994-30156329(probes 224255:224279)	chr19:27738460-30126798(probes 224273:224276)	chr19:24009994-30126798(probes 224255:224276)	3.0279e-05	 3.0279e-05		Actual Copy Change Given	0	0	-0.0020789	-0.63636	0	0	0.96256	0	0	0	0	0.0010013	0	0	0	0	0	0	0	-0.0044472	0	0.71181	-0.55887	0.0016561	0	0	0	0	0.02405	-0.0012894	-0.00058768	0	-0.0017422	0	-0.0048355	0	
